record_id,pref_code,pref_name,area_code,area_name,facility_name,municipality,linkage_match_status,linkage_match_method,current_longitude,current_latitude,reference_status,reference_kind,reference_id,reference_name,reference_address,reference_longitude,reference_latitude,reference_area_code,distance_m,audit_status
R7-2101-79,21,岐阜県,2101,岐阜,医療法人誠優会　石原産婦人科,岐阜市,matched,normalized_suffix,136.8419414048584,35.439704916778574,unique,診療所,2121342001576,医療法人誠優会　石原産婦人科,岐阜県岐阜市芥見嵯峨,136.841836,35.439786,2101,13.1,agree
R7-2101-80,21,岐阜県,2101,岐阜,総合在宅医療クリニック,岐南町,matched,normalized_exact,136.7734088802888,35.3757413160015,unique,診療所,2121632008750,総合在宅医療クリニック,岐阜県羽島郡岐南町薬師寺４－１２,136.773508,35.375873,2101,17.2,agree
R7-2101-81,21,岐阜県,2101,岐阜,野川眼科医院,岐阜市,matched,normalized_exact,136.7543852886043,35.41771367769912,unique,診療所,2121342000422,野川眼科医院,岐阜県岐阜市神室町４丁目３１番地,136.754247,35.417709,2101,12.5,agree
R7-2101-82,21,岐阜県,2101,岐阜,サンライズクリニック,岐南町,matched,normalized_exact,136.79934585164062,35.38437161050966,unique,診療所,2121632000243,サンライズクリニック,岐阜県羽島郡岐南町野中３丁目２２０,136.799351,35.384479,2101,12.0,agree
R7-2101-83,21,岐阜県,2101,岐阜,医療法人内田眼科,岐阜市,matched,normalized_exact,136.75331728776,35.41730775837566,unique,診療所,2121342000318,医療法人内田眼科,岐阜県岐阜市徹明通４ー１８,136.753269,35.417283,2101,5.2,agree
R7-2101-84,21,岐阜県,2101,岐阜,しま医院,岐阜市,matched,normalized_exact,136.7408803010784,35.42937750700498,unique,診療所,2121342000313,しま医院,岐阜県岐阜市池ノ上町４ー７４,136.740773,35.429454,2101,12.9,agree
R7-2101-85,21,岐阜県,2101,岐阜,田中整形外科,羽島市,matched,normalized_exact,136.7295579186269,35.324954905192584,unique,診療所,2121632000286,田中整形外科,岐阜県羽島市正木町大浦６６０ー１,136.729531,35.324935,2101,3.3,agree
R7-2101-86,21,岐阜県,2101,岐阜,宇土医院,瑞穂市,matched,normalized_exact,136.6906284311996,35.40881399517423,unique,診療所,2121632002008,宇土医院,岐阜県瑞穂市馬場小城町１丁目８２番地,136.690594,35.408889,2101,8.9,agree
R7-2101-87,21,岐阜県,2101,岐阜,おぐら産科婦人科クリニック,岐阜市,unmatched,none,,,none,,,,,,,,,missing_without_reference
R7-2101-88,21,岐阜県,2101,岐阜,はっとりクリニック,岐阜市,matched,normalized_exact,136.7234405671945,35.4105036194596,unique,診療所,2121342000818,はっとりクリニック,岐阜県岐阜市鏡島精華２丁目４ー２５,136.723223,35.410519,2101,19.8,agree
R7-2101-89,21,岐阜県,2101,岐阜,阪野クリニック,岐阜市,matched,normalized_exact,136.76212628222186,35.412716126028386,unique,診療所,2121342000884,阪野クリニック,岐阜県岐阜市清住町１丁目２２番地,136.762151,35.412697,2101,3.1,agree
R7-2101-90,21,岐阜県,2101,岐阜,石田眼科,各務原市,matched,normalized_exact,136.89569643824981,35.39831914083372,unique,診療所,2121632000517,石田眼科,岐阜県各務原市鵜沼三ツ池町５丁目２１２番地,136.895715,35.398420,2101,11.3,agree
R7-2101-91,21,岐阜県,2101,岐阜,社会医療法人清光会 名和内科,瑞穂市,matched,normalized_exact,136.65951991995442,35.41610052048402,unique,診療所,2121632001464,社会医療法人清光会名和内科,岐阜県瑞穂市重里２００５,136.659492,35.416084,2101,3.1,agree
R7-2101-92,21,岐阜県,2101,岐阜,佐久間眼科医院,岐阜市,matched,normalized_exact,136.79096270732944,35.41755081797056,none,,,,,,,,,no_reference
R7-2101-93,21,岐阜県,2101,岐阜,桑山眼科,岐阜市,matched,normalized_exact,136.7941992088848,35.41675789929209,unique,診療所,2121342000393,桑山眼科,岐阜県岐阜市北一色８ー８ー１４号,136.794092,35.416693,2101,12.1,agree
