record_id,area_code,facility_name,facility_name_normalized,municipality,match_status,match_method,reason_code,candidate_count,match_score,p04_feature_index,p04_name,p04_name_normalized,p04_category,p04_address,p04_municipality,p04_beds,longitude,latitude
R7-3401-38,3401,山﨑病院,山﨑病院,広島市東区,unmatched,none,outside_area_polygon,2,,,,,,,,,,
R7-3401-39,3401,日比野病院,日比野病院,広島市安佐南区,matched,normalized_exact,,1,,151053,日比野病院,日比野病院,1,広島市安佐南区伴東七丁目９番２号,広島市安佐南区,146,132.42112098731073,34.46410259160416
R7-3401-40,3401,翠清会 梶川病院,翠清会梶川病院,広島市中区,matched,normalized_suffix,,1,,150088,医療法人　翠清会　翠清会梶川病院,翠清会翠清会梶川病院,1,広島市中区東千田町一丁目１－２３,広島市中区,143,132.45946294504486,34.38215511833497
R7-3401-41,3401,地方独立行政法人 広島市立病院機構 広島市立舟入市民病院,広島市立病院機構広島市立舟入市民病院,広島市中区,matched,normalized_exact,,1,,150292,地方独立行政法人広島市立病院機構　広島市立舟入市民病院,広島市立病院機構広島市立舟入市民病院,1,広島市中区舟入幸町１４番１１号,広島市中区,156,132.43976560048642,34.38607473770402
R7-3401-42,3401,高陽ニュータウン病院,高陽ニュタウン病院,広島市安佐北区,matched,normalized_exact,,1,,150942,高陽ニュータウン病院,高陽ニュタウン病院,1,広島市安佐北区亀崎４－７－１,広島市安佐北区,140,132.52583751019185,34.482332635020924
R7-3401-43,3401,広島市医師会運営・安芸市民病院,広島市医師会運営安芸市民病院,広島市安芸区,matched,normalized_exact,,1,,151290,広島市医師会運営・安芸市民病院,広島市医師会運営安芸市民病院,1,広島市安芸区畑賀二丁目１４番１号,広島市安芸区,140,132.55247058658773,34.39270545231845
R7-3401-44,3401,医療法人社団朋和会西広島リハビリテーション病院,朋和会西広島リハビリテション病院,広島市佐伯区,matched,normalized_exact,,1,,150753,医療法人社団朋和会　西広島リハビリテーション病院,朋和会西広島リハビリテション病院,1,広島市佐伯区三宅６－２６５,広島市佐伯区,139,132.3392251541456,34.37814221380591
R7-3401-45,3401,長崎病院,長崎病院,広島市西区,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3401-46,3401,医療法人社団一陽会原田病院,一陽会原田病院,広島市佐伯区,matched,normalized_exact,,1,,150842,医療法人社団一陽会　原田病院,一陽会原田病院,1,広島市佐伯区海老山町７番１０号,広島市佐伯区,120,132.36429139130593,34.364103458054764
R7-3401-47,3401,医療法人社団慶寿会千代田中央病院,慶寿会千代田中央病院,北広島町,matched,normalized_exact,,1,,149310,医療法人社団　慶寿会　千代田中央病院,慶寿会千代田中央病院,1,山県郡北広島町有田１１９２番地,北広島町,120,132.53981773869162,34.67416225896995
R7-3401-48,3401,医療法人社団曙会 シムラ病院,曙会シムラ病院,広島市中区,matched,normalized_exact,,1,,150280,医療法人社団曙会　シムラ病院,曙会シムラ病院,1,広島市中区舟入町３―１３,広島市中区,116,132.44395000283876,34.391588886206335
R7-3401-49,3401,医療法人和同会 広島パークヒル病院,和同会広島パクヒル病院,広島市西区,matched,normalized_exact,,1,,150477,医療法人和同会　広島パークヒル病院,和同会広島パクヒル病院,1,広島市西区田方２丁目１６番４５号,広島市西区,114,132.39607650446254,34.3917296494867
