published_fy,pref_code,pref_name,area_code,area_name,population_2020,population_2020_source_value,population_2020_source_unit,area_2020_km2,outflow_rate,outflow_rate_source_value,inflow_rate,inflow_rate_source_value
R7,25,滋賀県,2505,湖東,155308,15.5308,万人,392.04,0.265,0.265,0.15,0.15
R7,25,滋賀県,2506,湖北,150861,15.0861,万人,931.41,0.249,0.249,0.096,0.096
R7,25,滋賀県,2507,湖西,46377,4.6377,万人,693.05,0.335,0.335,0.092,0.092
R7,26,京都府,2601,丹後,89638,8.9638,万人,844.5,0.16699999999999998,0.16699999999999998,0.071,0.071
R7,26,京都府,2602,中丹,189488,18.9488,万人,1241.77,0.126,0.126,0.11800000000000001,0.11800000000000001
R7,26,京都府,2603,南丹,130710,13.071,万人,1144.29,0.259,0.259,0.08199999999999999,0.08199999999999999
R7,26,京都府,2604,京都・乙訓,1617143,161.7143,万人,860.69,0.077,0.077,0.139,0.139
R7,26,京都府,2605,山城北,429990,42.999,万人,257.58,0.276,0.276,0.265,0.265
R7,26,京都府,2606,山城南,121118,12.1118,万人,263.37,0.469,0.469,0.284,0.284
R7,27,大阪府,2701,豊能,1056344,105.6344,万人,275.61,0.272,0.272,0.301,0.301
R7,27,大阪府,2702,三島,758811,75.8811,万人,213.46,0.235,0.235,0.218,0.218
R7,27,大阪府,2703,北河内,1139459,113.9459,万人,177.34,0.19899999999999998,0.19899999999999998,0.156,0.156
R7,27,大阪府,2704,中河内,827357,82.7357,万人,128.83,0.40700000000000003,0.40700000000000003,0.168,0.168
R7,27,大阪府,2705,南河内,592506,59.2506,万人,290.0,0.26,0.26,0.294,0.294
R7,27,大阪府,2706,堺市,826161,82.6161,万人,149.83,0.243,0.243,0.21100000000000002,0.21100000000000002
R7,27,大阪府,2707,泉州,884635,88.4635,万人,444.87,0.20600000000000002,0.20600000000000002,0.085,0.085
R7,27,大阪府,2708,大阪市,2752412,275.2412,万人,225.24,0.131,0.131,0.248,0.248
R7,28,兵庫県,2801,神戸,1525152,152.5152,万人,557.03,0.14300000000000002,0.14300000000000002,0.17300000000000001,0.17300000000000001
R7,28,兵庫県,2804,東播磨,716073,71.6073,万人,266.33,0.247,0.247,0.214,0.214
R7,28,兵庫県,2805,北播磨,264135,26.4135,万人,895.61,0.204,0.204,0.278,0.278
R7,28,兵庫県,2808,但馬,157989,15.7989,万人,2133.3,0.308,0.308,0.081,0.081
R7,28,兵庫県,2809,丹波,101082,10.1082,万人,870.8,0.382,0.382,0.11199999999999999,0.11199999999999999
R7,28,兵庫県,2810,淡路,127340,12.734,万人,595.71,0.183,0.183,0.038,0.038
R7,28,兵庫県,2811,阪神,1754911,175.4911,万人,650.04,0.152,0.152,0.16,0.16
R7,28,兵庫県,2812,播磨姫路,818320,81.832,万人,2432.14,0.107,0.107,0.081,0.081
R7,29,奈良県,2901,奈良,354630,35.463,万人,276.94,0.268,0.268,0.364,0.364
R7,29,奈良県,2902,東和,198650,19.865,万人,657.77,0.359,0.359,0.451,0.451
R7,29,奈良県,2903,西和,338775,33.8775,万人,168.49,0.382,0.382,0.32,0.32
R7,29,奈良県,2904,中和,367425,36.7425,万人,240.79,0.295,0.295,0.285,0.285
R7,29,奈良県,2905,南和,64993,6.4993,万人,2346.92,0.501,0.501,0.156,0.156
R7,30,和歌山県,3001,和歌山,413354,41.3354,万人,438.24,0.061,0.061,0.22899999999999998,0.22899999999999998
R7,30,和歌山県,3002,那賀,112783,11.2783,万人,266.72,0.486,0.486,0.302,0.302
R7,30,和歌山県,3003,橋本,83611,8.3611,万人,463.42,0.28600000000000003,0.28600000000000003,0.168,0.168
R7,30,和歌山県,3004,有田,69699,6.9699,万人,474.79,0.424,0.424,0.027000000000000003,0.027000000000000003
R7,30,和歌山県,3005,御坊,60324,6.0324,万人,579.02,0.155,0.155,0.304,0.304
R7,30,和歌山県,3006,田辺,120871,12.0871,万人,1579.99,0.157,0.157,0.111,0.111
R7,30,和歌山県,3007,新宮,61942,6.1942,万人,922.45,0.255,0.255,0.233,0.233
R7,31,鳥取県,3101,東部,224492,22.4492,万人,1518.22,0.04,0.04,0.092,0.092
R7,31,鳥取県,3102,中部,99193,9.9193,万人,780.43,0.158,0.158,0.054000000000000006,0.054000000000000006
R7,31,鳥取県,3103,西部,229722,22.9722,万人,1208.48,0.036000000000000004,0.036000000000000004,0.191,0.191
R7,32,島根県,3201,松江,240678,24.0678,万人,993.92,0.134,0.134,0.08,0.08
R7,32,島根県,3202,雲南,52433,5.2433,万人,1164.07,0.44799999999999995,0.44799999999999995,0.016,0.016
R7,32,島根県,3203,出雲,172775,17.2775,万人,624.36,0.043,0.043,0.294,0.294
R7,32,島根県,3204,大田,50612,5.0612,万人,1244.35,0.513,0.513,0.08900000000000001,0.08900000000000001
R7,32,島根県,3205,浜田,77551,7.7551,万人,958.92,0.252,0.252,0.079,0.079
R7,32,島根県,3206,益田,57955,5.7955,万人,1376.72,0.205,0.205,0.098,0.098
R7,32,島根県,3207,隠岐,19122,1.9122,万人,345.92,0.509,0.509,0,0
R7,33,岡山県,3301,県南東部,916760,91.676,万人,1899.47,0.075,0.075,0.166,0.166
R7,33,岡山県,3302,県南西部,697598,69.7598,万人,1124.24,0.11,0.11,0.159,0.159
R7,33,岡山県,3303,高梁・新見,57151,5.7151,万人,1340.28,0.418,0.418,0.08800000000000001,0.08800000000000001
R7,33,岡山県,3304,真庭,43538,4.3538,万人,895.64,0.484,0.484,0.075,0.075
R7,33,岡山県,3305,津山・英田,173385,17.3385,万人,1847.66,0.252,0.252,0.059000000000000004,0.059000000000000004
R7,34,広島県,3401,広島,1366912,136.6912,万人,2506.17,0.095,0.095,0.121,0.121
R7,34,広島県,3402,広島西,140492,14.0492,万人,568.14,0.35600000000000004,0.35600000000000004,0.484,0.484
R7,34,広島県,3403,呉,236522,23.6522,万人,453.5,0.105,0.105,0.10400000000000001,0.10400000000000001
R7,34,広島県,3404,広島中央,227759,22.7759,万人,796.5,0.231,0.231,0.226,0.226
R7,34,広島県,3405,尾三,236868,23.6868,万人,1034.8,0.161,0.161,0.149,0.149
R7,34,広島県,3406,福山・府中,506835,50.6835,万人,1095.87,0.159,0.159,0.10300000000000001,0.10300000000000001
R7,34,広島県,3407,備北,84314,8.4314,万人,2024.63,0.18100000000000002,0.18100000000000002,0.168,0.168
