published_fy,pref_code,pref_name,area_code,area_name,bed_function,series,year,beds
R7,01,北海道,0105,後志,慢性期,実績,2024,932
R7,01,北海道,0105,後志,慢性期,実績,2025,932
R7,01,北海道,0105,後志,慢性期,見込量,2026,866
R7,01,北海道,0105,後志,慢性期,必要数,2025,1264
R7,01,北海道,0106,南空知,合計,実績,2015,2345
R7,01,北海道,0106,南空知,合計,実績,2018,2154
R7,01,北海道,0106,南空知,合計,実績,2019,2117
R7,01,北海道,0106,南空知,合計,実績,2020,2099
R7,01,北海道,0106,南空知,合計,実績,2021,2064
R7,01,北海道,0106,南空知,合計,実績,2022,1879
R7,01,北海道,0106,南空知,合計,実績,2023,1692
R7,01,北海道,0106,南空知,合計,実績,2024,1738
R7,01,北海道,0106,南空知,合計,実績,2025,1738
R7,01,北海道,0106,南空知,合計,見込量,2026,1553
R7,01,北海道,0106,南空知,合計,必要数,2025,1925
R7,01,北海道,0106,南空知,高度急性期,実績,2015,0
R7,01,北海道,0106,南空知,高度急性期,実績,2018,0
R7,01,北海道,0106,南空知,高度急性期,実績,2019,0
R7,01,北海道,0106,南空知,高度急性期,実績,2020,0
R7,01,北海道,0106,南空知,高度急性期,実績,2021,0
R7,01,北海道,0106,南空知,高度急性期,実績,2022,0
R7,01,北海道,0106,南空知,高度急性期,実績,2023,0
R7,01,北海道,0106,南空知,高度急性期,実績,2024,0
R7,01,北海道,0106,南空知,高度急性期,実績,2025,0
R7,01,北海道,0106,南空知,高度急性期,見込量,2026,0
R7,01,北海道,0106,南空知,高度急性期,必要数,2025,98
R7,01,北海道,0106,南空知,急性期,実績,2015,1270
R7,01,北海道,0106,南空知,急性期,実績,2018,1187
R7,01,北海道,0106,南空知,急性期,実績,2019,1148
R7,01,北海道,0106,南空知,急性期,実績,2020,1215
R7,01,北海道,0106,南空知,急性期,実績,2021,1246
R7,01,北海道,0106,南空知,急性期,実績,2022,1162
R7,01,北海道,0106,南空知,急性期,実績,2023,1086
R7,01,北海道,0106,南空知,急性期,実績,2024,1050
R7,01,北海道,0106,南空知,急性期,実績,2025,1050
R7,01,北海道,0106,南空知,急性期,見込量,2026,903
R7,01,北海道,0106,南空知,急性期,必要数,2025,474
R7,01,北海道,0106,南空知,回復期,実績,2015,136
R7,01,北海道,0106,南空知,回復期,実績,2018,132
R7,01,北海道,0106,南空知,回復期,実績,2019,158
R7,01,北海道,0106,南空知,回復期,実績,2020,132
R7,01,北海道,0106,南空知,回復期,実績,2021,139
R7,01,北海道,0106,南空知,回復期,実績,2022,139
R7,01,北海道,0106,南空知,回復期,実績,2023,79
R7,01,北海道,0106,南空知,回復期,実績,2024,158
R7,01,北海道,0106,南空知,回復期,実績,2025,158
R7,01,北海道,0106,南空知,回復期,見込量,2026,163
R7,01,北海道,0106,南空知,回復期,必要数,2025,708
R7,01,北海道,0106,南空知,慢性期,実績,2015,939
R7,01,北海道,0106,南空知,慢性期,実績,2018,835
R7,01,北海道,0106,南空知,慢性期,実績,2019,811
R7,01,北海道,0106,南空知,慢性期,実績,2020,752
R7,01,北海道,0106,南空知,慢性期,実績,2021,679
R7,01,北海道,0106,南空知,慢性期,実績,2022,578
R7,01,北海道,0106,南空知,慢性期,実績,2023,527
R7,01,北海道,0106,南空知,慢性期,実績,2024,530
R7,01,北海道,0106,南空知,慢性期,実績,2025,530
R7,01,北海道,0106,南空知,慢性期,見込量,2026,487
R7,01,北海道,0106,南空知,慢性期,必要数,2025,645
R7,01,北海道,0107,中空知,合計,実績,2015,2257
R7,01,北海道,0107,中空知,合計,実績,2018,1890
R7,01,北海道,0107,中空知,合計,実績,2019,1889
R7,01,北海道,0107,中空知,合計,実績,2020,1773
R7,01,北海道,0107,中空知,合計,実績,2021,1821
R7,01,北海道,0107,中空知,合計,実績,2022,1803
R7,01,北海道,0107,中空知,合計,実績,2023,1795
R7,01,北海道,0107,中空知,合計,実績,2024,1622
R7,01,北海道,0107,中空知,合計,実績,2025,1622
R7,01,北海道,0107,中空知,合計,見込量,2026,1550
R7,01,北海道,0107,中空知,合計,必要数,2025,1609
R7,01,北海道,0107,中空知,高度急性期,実績,2015,26
R7,01,北海道,0107,中空知,高度急性期,実績,2018,26
R7,01,北海道,0107,中空知,高度急性期,実績,2019,26
R7,01,北海道,0107,中空知,高度急性期,実績,2020,34
R7,01,北海道,0107,中空知,高度急性期,実績,2021,34
R7,01,北海道,0107,中空知,高度急性期,実績,2022,34
R7,01,北海道,0107,中空知,高度急性期,実績,2023,34
R7,01,北海道,0107,中空知,高度急性期,実績,2024,34
R7,01,北海道,0107,中空知,高度急性期,実績,2025,34
R7,01,北海道,0107,中空知,高度急性期,見込量,2026,34
R7,01,北海道,0107,中空知,高度急性期,必要数,2025,124
R7,01,北海道,0107,中空知,急性期,実績,2015,898
R7,01,北海道,0107,中空知,急性期,実績,2018,772
R7,01,北海道,0107,中空知,急性期,実績,2019,720
R7,01,北海道,0107,中空知,急性期,実績,2020,706
R7,01,北海道,0107,中空知,急性期,実績,2021,695
R7,01,北海道,0107,中空知,急性期,実績,2022,669
R7,01,北海道,0107,中空知,急性期,実績,2023,669
R7,01,北海道,0107,中空知,急性期,実績,2024,630
R7,01,北海道,0107,中空知,急性期,実績,2025,630
R7,01,北海道,0107,中空知,急性期,見込量,2026,580
R7,01,北海道,0107,中空知,急性期,必要数,2025,424
R7,01,北海道,0107,中空知,回復期,実績,2015,123
R7,01,北海道,0107,中空知,回復期,実績,2018,168
R7,01,北海道,0107,中空知,回復期,実績,2019,176
R7,01,北海道,0107,中空知,回復期,実績,2020,168
R7,01,北海道,0107,中空知,回復期,実績,2021,168
R7,01,北海道,0107,中空知,回復期,実績,2022,168
R7,01,北海道,0107,中空知,回復期,実績,2023,168
R7,01,北海道,0107,中空知,回復期,実績,2024,124
R7,01,北海道,0107,中空知,回復期,実績,2025,124
R7,01,北海道,0107,中空知,回復期,見込量,2026,113
R7,01,北海道,0107,中空知,回復期,必要数,2025,435
R7,01,北海道,0107,中空知,慢性期,実績,2015,1210
R7,01,北海道,0107,中空知,慢性期,実績,2018,924
R7,01,北海道,0107,中空知,慢性期,実績,2019,967
R7,01,北海道,0107,中空知,慢性期,実績,2020,865
R7,01,北海道,0107,中空知,慢性期,実績,2021,924
R7,01,北海道,0107,中空知,慢性期,実績,2022,932
R7,01,北海道,0107,中空知,慢性期,実績,2023,924
R7,01,北海道,0107,中空知,慢性期,実績,2024,834
R7,01,北海道,0107,中空知,慢性期,実績,2025,834
R7,01,北海道,0107,中空知,慢性期,見込量,2026,823
R7,01,北海道,0107,中空知,慢性期,必要数,2025,626
R7,01,北海道,0108,北空知,合計,実績,2015,598
R7,01,北海道,0108,北空知,合計,実績,2018,598
R7,01,北海道,0108,北空知,合計,実績,2019,598
R7,01,北海道,0108,北空知,合計,実績,2020,598
R7,01,北海道,0108,北空知,合計,実績,2021,598
R7,01,北海道,0108,北空知,合計,実績,2022,598
R7,01,北海道,0108,北空知,合計,実績,2023,598
R7,01,北海道,0108,北空知,合計,実績,2024,526
R7,01,北海道,0108,北空知,合計,実績,2025,526
R7,01,北海道,0108,北空知,合計,見込量,2026,526
R7,01,北海道,0108,北空知,合計,必要数,2025,522
R7,01,北海道,0108,北空知,高度急性期,実績,2015,0
R7,01,北海道,0108,北空知,高度急性期,実績,2018,0
R7,01,北海道,0108,北空知,高度急性期,実績,2019,0
R7,01,北海道,0108,北空知,高度急性期,実績,2020,0
R7,01,北海道,0108,北空知,高度急性期,実績,2021,0
R7,01,北海道,0108,北空知,高度急性期,実績,2022,0
R7,01,北海道,0108,北空知,高度急性期,実績,2023,0
R7,01,北海道,0108,北空知,高度急性期,実績,2024,0
R7,01,北海道,0108,北空知,高度急性期,実績,2025,0
R7,01,北海道,0108,北空知,高度急性期,見込量,2026,0
R7,01,北海道,0108,北空知,高度急性期,必要数,2025,17
R7,01,北海道,0108,北空知,急性期,実績,2015,191
R7,01,北海道,0108,北空知,急性期,実績,2018,149
R7,01,北海道,0108,北空知,急性期,実績,2019,149
R7,01,北海道,0108,北空知,急性期,実績,2020,149
R7,01,北海道,0108,北空知,急性期,実績,2021,149
R7,01,北海道,0108,北空知,急性期,実績,2022,149
R7,01,北海道,0108,北空知,急性期,実績,2023,149
R7,01,北海道,0108,北空知,急性期,実績,2024,149
R7,01,北海道,0108,北空知,急性期,実績,2025,149
R7,01,北海道,0108,北空知,急性期,見込量,2026,149
R7,01,北海道,0108,北空知,急性期,必要数,2025,100
R7,01,北海道,0108,北空知,回復期,実績,2015,0
R7,01,北海道,0108,北空知,回復期,実績,2018,42
R7,01,北海道,0108,北空知,回復期,実績,2019,42
R7,01,北海道,0108,北空知,回復期,実績,2020,42
R7,01,北海道,0108,北空知,回復期,実績,2021,42
R7,01,北海道,0108,北空知,回復期,実績,2022,42
R7,01,北海道,0108,北空知,回復期,実績,2023,42
R7,01,北海道,0108,北空知,回復期,実績,2024,42
R7,01,北海道,0108,北空知,回復期,実績,2025,42
R7,01,北海道,0108,北空知,回復期,見込量,2026,42
R7,01,北海道,0108,北空知,回復期,必要数,2025,153
R7,01,北海道,0108,北空知,慢性期,実績,2015,407
R7,01,北海道,0108,北空知,慢性期,実績,2018,407
R7,01,北海道,0108,北空知,慢性期,実績,2019,407
R7,01,北海道,0108,北空知,慢性期,実績,2020,407
R7,01,北海道,0108,北空知,慢性期,実績,2021,407
R7,01,北海道,0108,北空知,慢性期,実績,2022,407
R7,01,北海道,0108,北空知,慢性期,実績,2023,407
R7,01,北海道,0108,北空知,慢性期,実績,2024,335
R7,01,北海道,0108,北空知,慢性期,実績,2025,335
R7,01,北海道,0108,北空知,慢性期,見込量,2026,335
R7,01,北海道,0108,北空知,慢性期,必要数,2025,252
R7,01,北海道,0109,西胆振,合計,実績,2015,3636
R7,01,北海道,0109,西胆振,合計,実績,2018,3430
R7,01,北海道,0109,西胆振,合計,実績,2019,3567
R7,01,北海道,0109,西胆振,合計,実績,2020,3517
R7,01,北海道,0109,西胆振,合計,実績,2021,3133
R7,01,北海道,0109,西胆振,合計,実績,2022,3069
R7,01,北海道,0109,西胆振,合計,実績,2023,2917
R7,01,北海道,0109,西胆振,合計,実績,2024,3004
R7,01,北海道,0109,西胆振,合計,実績,2025,3004
R7,01,北海道,0109,西胆振,合計,見込量,2026,2798
R7,01,北海道,0109,西胆振,合計,必要数,2025,2826
R7,01,北海道,0109,西胆振,高度急性期,実績,2015,93
R7,01,北海道,0109,西胆振,高度急性期,実績,2018,60
R7,01,北海道,0109,西胆振,高度急性期,実績,2019,60
R7,01,北海道,0109,西胆振,高度急性期,実績,2020,60
R7,01,北海道,0109,西胆振,高度急性期,実績,2021,60
R7,01,北海道,0109,西胆振,高度急性期,実績,2022,60
R7,01,北海道,0109,西胆振,高度急性期,実績,2023,42
R7,01,北海道,0109,西胆振,高度急性期,実績,2024,24
R7,01,北海道,0109,西胆振,高度急性期,実績,2025,24
R7,01,北海道,0109,西胆振,高度急性期,見込量,2026,36
R7,01,北海道,0109,西胆振,高度急性期,必要数,2025,279
R7,01,北海道,0109,西胆振,急性期,実績,2015,1393
R7,01,北海道,0109,西胆振,急性期,実績,2018,1327
R7,01,北海道,0109,西胆振,急性期,実績,2019,1309
R7,01,北海道,0109,西胆振,急性期,実績,2020,1311
R7,01,北海道,0109,西胆振,急性期,実績,2021,1288
