published_fy,pref_code,pref_name,area_code,area_name,direction,overall_rate
R7,21,岐阜県,2105,飛騨,流入率,0.047538102759168366
R7,21,岐阜県,2105,飛騨,流出率,0.2717659808454963
R7,22,静岡県,2201,賀茂,流入率,0.08557604424711118
R7,22,静岡県,2201,賀茂,流出率,0.5662419039186012
R7,22,静岡県,2202,熱海伊東,流入率,0.24167327960420038
R7,22,静岡県,2202,熱海伊東,流出率,0.44212041043147454
R7,22,静岡県,2203,駿東田方,流入率,0.2339712531447401
R7,22,静岡県,2203,駿東田方,流出率,0.07411121174981616
R7,22,静岡県,2204,富士,流入率,0.07284136804092967
R7,22,静岡県,2204,富士,流出率,0.24822913926579815
R7,22,静岡県,2205,静岡,流入率,0.17047627816729483
R7,22,静岡県,2205,静岡,流出率,0.05771494901330343
R7,22,静岡県,2206,志太榛原,流入率,0.05692952768610737
R7,22,静岡県,2206,志太榛原,流出率,0.17225260228917294
R7,22,静岡県,2207,中東遠,流入率,0.058898151535555665
R7,22,静岡県,2207,中東遠,流出率,0.2709464662729796
R7,22,静岡県,2208,西部,流入率,0.13011055810802918
R7,22,静岡県,2208,西部,流出率,0.041277740248632844
R7,23,愛知県,2302,海部,流入率,0.2227468643547088
R7,23,愛知県,2302,海部,流出率,0.45931143280915065
R7,23,愛知県,2304,尾張東部,流入率,0.5951039082118932
R7,23,愛知県,2304,尾張東部,流出率,0.260866373479712
R7,23,愛知県,2305,尾張西部,流入率,0.15712053407870408
R7,23,愛知県,2305,尾張西部,流出率,0.1549361547784549
R7,23,愛知県,2306,尾張北部,流入率,0.21842331286272487
R7,23,愛知県,2306,尾張北部,流出率,0.22739431448502367
R7,23,愛知県,2307,知多半島,流入率,0.14784001870504504
R7,23,愛知県,2307,知多半島,流出率,0.4248259986509174
R7,23,愛知県,2308,西三河北部,流入率,0.1556256471532369
R7,23,愛知県,2308,西三河北部,流出率,0.1950844643868086
R7,23,愛知県,2309,西三河南部西,流入率,0.22341599186556038
R7,23,愛知県,2309,西三河南部西,流出率,0.231702212018573
R7,23,愛知県,2310,西三河南部東,流入率,0.15019811302190078
R7,23,愛知県,2310,西三河南部東,流出率,0.2342462115795555
R7,23,愛知県,2311,東三河北部,流入率,0.06567259159940053
R7,23,愛知県,2311,東三河北部,流出率,0.7637117248424772
R7,23,愛知県,2312,東三河南部,流入率,0.09664278652502667
R7,23,愛知県,2312,東三河南部,流出率,0.10759089196862404
R7,23,愛知県,2313,名古屋・尾張中部,流入率,0.235292216696127
R7,23,愛知県,2313,名古屋・尾張中部,流出率,0.17372252563575996
R7,24,三重県,2405,桑員,流入率,0.1504270267902097
R7,24,三重県,2405,桑員,流出率,0.35615094877121234
R7,24,三重県,2406,三泗,流入率,0.17008655432783015
R7,24,三重県,2406,三泗,流出率,0.21094882019187822
R7,24,三重県,2407,鈴亀,流入率,0.16748735873131082
R7,24,三重県,2407,鈴亀,流出率,0.299452098169818
R7,24,三重県,2408,津,流入率,0.34743715109941165
R7,24,三重県,2408,津,流出率,0.11294003484649451
R7,24,三重県,2409,伊賀,流入率,0.06389117482224793
R7,24,三重県,2409,伊賀,流出率,0.3497865334036011
R7,24,三重県,2410,松阪,流入率,0.18316222846696206
R7,24,三重県,2410,松阪,流出率,0.2386234187539401
R7,24,三重県,2411,伊勢志摩,流入率,0.12166819037018317
R7,24,三重県,2411,伊勢志摩,流出率,0.1568744052089851
R7,24,三重県,2412,東紀州,流入率,0.05121992556244237
R7,24,三重県,2412,東紀州,流出率,0.5593649897019133
R7,25,滋賀県,2501,大津,流入率,0.3026607629648731
