published_fy,direction,pref_code,pref_name,area_code,area_name,phase,rank,partner_pref_code,partner_pref_name,partner_area_code,partner_area_name,rate,rate_source_value,value_status
R7,流入率,01,北海道,0107,中空知,包括期,1,01,北海道,0107,中空知,0.9021064218260306,0.9021064218260306,observed
R7,流入率,01,北海道,0107,中空知,包括期,2,01,北海道,0106,南空知,0.02899323423606896,0.02899323423606896,observed
R7,流入率,01,北海道,0107,中空知,包括期,3,01,北海道,0108,北空知,0.02824587995618113,0.02824587995618113,observed
R7,流入率,01,北海道,0107,中空知,慢性期,1,01,北海道,0107,中空知,0.8709915072016076,0.8709915072016076,observed
R7,流入率,01,北海道,0107,中空知,慢性期,2,01,北海道,0115,留萌,0.044429562240700084,0.044429562240700084,observed
R7,流入率,01,北海道,0107,中空知,慢性期,3,01,北海道,0108,北空知,0.027869899034508837,0.027869899034508837,observed
R7,流入率,01,北海道,0107,中空知,慢性期,4,01,北海道,0114,富良野,0.012835485790552909,0.012835485790552909,observed
R7,流入率,01,北海道,0107,中空知,慢性期,5,01,北海道,0104,札幌,0.012492586081487993,0.012492586081487993,observed
R7,流入率,01,北海道,0107,中空知,慢性期,6,01,北海道,0106,南空知,0.010865851530821851,0.010865851530821851,observed
R7,流入率,01,北海道,0107,中空知,慢性期,7,01,北海道,0112,上川中部,0.0064077581124210164,0.0064077581124210164,observed
R7,流入率,01,北海道,0107,中空知,慢性期,8,01,北海道,0113,上川北部,0.005298508603599882,0.005298508603599882,observed
R7,流出率,01,北海道,0107,中空知,高度急性期+急性期,1,01,北海道,0107,中空知,0.736343423214698,0.736343423214698,observed
R7,流出率,01,北海道,0107,中空知,高度急性期+急性期,2,01,北海道,0104,札幌,0.15049809920551493,0.15049809920551493,observed
R7,流出率,01,北海道,0107,中空知,高度急性期+急性期,3,01,北海道,0112,上川中部,0.049935427871802746,0.049935427871802746,observed
R7,流出率,01,北海道,0107,中空知,高度急性期+急性期,4,01,北海道,0106,南空知,0.034004253500447064,0.034004253500447064,observed
R7,流出率,01,北海道,0107,中空知,高度急性期+急性期,5,01,北海道,0114,富良野,0.018323770855685293,0.018323770855685293,observed
R7,流出率,01,北海道,0107,中空知,包括期,1,01,北海道,0107,中空知,0.7451061120192363,0.7451061120192363,observed
R7,流出率,01,北海道,0107,中空知,包括期,2,01,北海道,0104,札幌,0.14371814866697272,0.14371814866697272,observed
R7,流出率,01,北海道,0107,中空知,包括期,3,01,北海道,0106,南空知,0.04889007630232957,0.04889007630232957,observed
R7,流出率,01,北海道,0107,中空知,包括期,4,01,北海道,0112,上川中部,0.04254345786027149,0.04254345786027149,observed
R7,流出率,01,北海道,0107,中空知,慢性期,1,01,北海道,0107,中空知,0.9112676053064335,0.9112676053064335,observed
R7,流出率,01,北海道,0107,中空知,慢性期,2,01,北海道,0104,札幌,0.058782601785557026,0.058782601785557026,observed
R7,流出率,01,北海道,0107,中空知,慢性期,3,01,北海道,0106,南空知,0.016626925063139883,0.016626925063139883,observed
R7,流出率,01,北海道,0107,中空知,慢性期,4,01,北海道,0112,上川中部,0.007124412572736091,0.007124412572736091,observed
R7,流入率,01,北海道,0108,北空知,高度急性期+急性期,1,01,北海道,0108,北空知,0.9062377859442625,0.9062377859442625,observed
R7,流入率,01,北海道,0108,北空知,包括期,1,01,北海道,0108,北空知,0.93808600674903,0.93808600674903,observed
R7,流入率,01,北海道,0108,北空知,慢性期,1,01,北海道,0108,北空知,0.7968833089304491,0.7968833089304491,observed
R7,流入率,01,北海道,0108,北空知,慢性期,2,01,北海道,0115,留萌,0.15395447479890406,0.15395447479890406,observed
R7,流出率,01,北海道,0108,北空知,高度急性期+急性期,1,01,北海道,0108,北空知,0.5200041877928079,0.5200041877928079,observed
R7,流出率,01,北海道,0108,北空知,高度急性期+急性期,2,01,北海道,0112,上川中部,0.33583471855070374,0.33583471855070374,observed
R7,流出率,01,北海道,0108,北空知,高度急性期+急性期,3,01,北海道,0107,中空知,0.08834745008523828,0.08834745008523828,observed
R7,流出率,01,北海道,0108,北空知,高度急性期+急性期,4,01,北海道,0104,札幌,0.04197255767129139,0.04197255767129139,observed
R7,流出率,01,北海道,0108,北空知,包括期,1,01,北海道,0108,北空知,0.6156232400967835,0.6156232400967835,observed
R7,流出率,01,北海道,0108,北空知,包括期,2,01,北海道,0112,上川中部,0.26719201832672324,0.26719201832672324,observed
R7,流出率,01,北海道,0108,北空知,包括期,3,01,北海道,0107,中空知,0.07143987155877342,0.07143987155877342,observed
R7,流出率,01,北海道,0108,北空知,慢性期,1,01,北海道,0108,北空知,0.812241245366175,0.812241245366175,observed
R7,流出率,01,北海道,0108,北空知,慢性期,2,01,北海道,0107,中空知,0.10534749982403752,0.10534749982403752,observed
R7,流出率,01,北海道,0108,北空知,慢性期,3,01,北海道,0112,上川中部,0.05247288258702093,0.05247288258702093,observed
R7,流出率,01,北海道,0108,北空知,慢性期,4,01,北海道,0104,札幌,0.02204666434214009,0.02204666434214009,observed
R7,流入率,01,北海道,0109,西胆振,高度急性期+急性期,1,01,北海道,0109,西胆振,0.9321730415219098,0.9321730415219098,observed
R7,流入率,01,北海道,0109,西胆振,高度急性期+急性期,2,01,北海道,0110,東胆振,0.03582258804162706,0.03582258804162706,observed
R7,流入率,01,北海道,0109,西胆振,高度急性期+急性期,3,01,北海道,0105,後志,0.012947443435007372,0.012947443435007372,observed
R7,流入率,01,北海道,0109,西胆振,包括期,1,01,北海道,0109,西胆振,0.9277288665772243,0.9277288665772243,observed
R7,流入率,01,北海道,0109,西胆振,包括期,2,01,北海道,0110,東胆振,0.047522664665942994,0.047522664665942994,observed
R7,流入率,01,北海道,0109,西胆振,包括期,3,01,北海道,0105,後志,0.010618942755516593,0.010618942755516593,observed
R7,流入率,01,北海道,0109,西胆振,慢性期,1,01,北海道,0109,西胆振,0.931152034806194,0.931152034806194,observed
R7,流入率,01,北海道,0109,西胆振,慢性期,2,01,北海道,0110,東胆振,0.027129110920855987,0.027129110920855987,observed
R7,流入率,01,北海道,0109,西胆振,慢性期,3,01,北海道,0105,後志,0.018992731955196813,0.018992731955196813,observed
R7,流入率,01,北海道,0109,西胆振,慢性期,4,01,北海道,0104,札幌,0.008016603346985538,0.008016603346985538,observed
R7,流入率,01,北海道,0109,西胆振,慢性期,5,01,北海道,0103,北渡島檜山,0.005068045366454436,0.005068045366454436,observed
