area_code,area_name,pref_code,pref_name,bed_function,plan_2025_r6,actual_2025_r7,actual_2024_r6,actual_2024_r7,need_2025
1004,高崎・安中,10,群馬県,高度急性期,502,502,502,502,283
1004,高崎・安中,10,群馬県,急性期,1282,1189,1231,1189,975
1004,高崎・安中,10,群馬県,回復期,710,772,721,772,1314
1004,高崎・安中,10,群馬県,慢性期,1206,1221,1252,1221,1127
1005,藤岡,10,群馬県,合計,857,810,857,810,866
1005,藤岡,10,群馬県,高度急性期,0,24,0,24,95
1005,藤岡,10,群馬県,急性期,475,451,475,451,314
1005,藤岡,10,群馬県,回復期,242,195,242,195,331
1005,藤岡,10,群馬県,慢性期,140,140,140,140,126
1006,富岡,10,群馬県,合計,569,569,591,569,725
1006,富岡,10,群馬県,高度急性期,32,32,32,32,59
1006,富岡,10,群馬県,急性期,217,217,200,217,185
1006,富岡,10,群馬県,回復期,197,197,236,197,179
1006,富岡,10,群馬県,慢性期,123,123,123,123,302
1007,吾妻,10,群馬県,合計,1136,1023,1083,1023,572
1007,吾妻,10,群馬県,高度急性期,0,0,0,0,18
1007,吾妻,10,群馬県,急性期,191,146,146,146,103
1007,吾妻,10,群馬県,回復期,269,262,262,262,284
1007,吾妻,10,群馬県,慢性期,676,615,675,615,167
1008,沼田,10,群馬県,合計,908,908,912,908,861
1008,沼田,10,群馬県,高度急性期,38,38,38,38,69
1008,沼田,10,群馬県,急性期,455,402,455,402,313
1008,沼田,10,群馬県,回復期,256,220,256,220,251
1008,沼田,10,群馬県,慢性期,159,248,163,248,228
1009,桐生,10,群馬県,合計,1768,1718,1718,1718,1506
1009,桐生,10,群馬県,高度急性期,18,18,18,18,102
1009,桐生,10,群馬県,急性期,750,750,750,750,413
1009,桐生,10,群馬県,回復期,324,324,324,324,528
1009,桐生,10,群馬県,慢性期,676,626,626,626,463
1010,太田・館林,10,群馬県,合計,2712,2583,2646,2583,2694
1010,太田・館林,10,群馬県,高度急性期,34,34,34,34,231
1010,太田・館林,10,群馬県,急性期,1917,1781,1863,1781,857
1010,太田・館林,10,群馬県,回復期,309,339,345,339,939
1010,太田・館林,10,群馬県,慢性期,452,429,404,429,667
1101,南部,11,埼玉県,合計,4505,4665,4529,4665,5025
1101,南部,11,埼玉県,高度急性期,206,302,205,302,609
1101,南部,11,埼玉県,急性期,2821,2795,2813,2795,1922
1101,南部,11,埼玉県,回復期,690,890,602,890,1623
1101,南部,11,埼玉県,慢性期,788,678,909,678,871
1102,南西部,11,埼玉県,合計,5160,4792,4700,4792,4777
1102,南西部,11,埼玉県,高度急性期,271,211,211,211,425
1102,南西部,11,埼玉県,急性期,3082,2674,2769,2674,1685
1102,南西部,11,埼玉県,回復期,529,725,518,725,1356
1102,南西部,11,埼玉県,慢性期,1278,1182,1202,1182,1311
1103,東部,11,埼玉県,合計,7627,7775,7525,7775,8935
1103,東部,11,埼玉県,高度急性期,327,236,275,236,831
1103,東部,11,埼玉県,急性期,4562,4490,4508,4490,2783
1103,東部,11,埼玉県,回復期,1055,1256,1015,1256,2734
1103,東部,11,埼玉県,慢性期,1683,1793,1727,1793,2587
1104,さいたま,11,埼玉県,合計,6917,6961,6759,6961,7664
1104,さいたま,11,埼玉県,高度急性期,1612,1608,1616,1608,1039
1104,さいたま,11,埼玉県,急性期,3245,3170,3039,3170,2770
1104,さいたま,11,埼玉県,回復期,642,733,736,733,2301
1104,さいたま,11,埼玉県,慢性期,1418,1450,1368,1450,1554
1105,県央,11,埼玉県,合計,3228,3335,3198,3335,3534
1105,県央,11,埼玉県,高度急性期,152,221,183,221,344
1105,県央,11,埼玉県,急性期,1886,2109,1878,2109,1273
1105,県央,11,埼玉県,回復期,326,231,284,231,1120
1105,県央,11,埼玉県,慢性期,864,774,853,774,797
1106,川越比企,11,埼玉県,合計,6894,6879,6844,6879,7652
1106,川越比企,11,埼玉県,高度急性期,1887,1774,1774,1774,802
1106,川越比企,11,埼玉県,急性期,1977,1992,2028,1992,2260
1106,川越比企,11,埼玉県,回復期,1171,1063,1124,1063,2518
1106,川越比企,11,埼玉県,慢性期,1859,2050,1918,2050,2072
1107,西部,11,埼玉県,合計,6837,7241,6885,7241,7951
1107,西部,11,埼玉県,高度急性期,891,870,874,870,694
1107,西部,11,埼玉県,急性期,2957,3367,3127,3367,2249
